country,source,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Armenia,coal,TJ,0,0,4262.425634,84.40446800000001,1055.0558500000002,84.40446800000001,147.707819,94.95502650000002,94.95502650000002,63.303351000000006,0,0,348.16843050000006,527.5279250000001,0,0,21.101117000000002,63.303351000000006,42.202234000000004,0,21.101117000000002
Armenia,naturalGas,TJ,0,0,72556.1908045,54609.690796,70224.517376,62417.104086,70224.517376,50716.5347095,54609.690796,50326.164045000005,55000.06146050001,54609.690796,42518.75075500001,51497.2760385,51887.646703000006,66320.810731,66320.810731,80131.49180750002,75288.78545600001,60465.25076350001,67491.92272450001
Armenia,petroleum,TJ,0,0,100167.002399,52700.03970750001,40208.1784435,55506.488268500005,62912.98033550001,68905.69756350001,71574.988864,73474.089394,79171.390984,82621.42361350001,85923.748424,88698.54530950001,91262.331025,98246.800752,99892.68787800001,103131.70933750001,105189.068245,100947.74372800002,102720.23755600001
Armenia,biogas,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,geothermal,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,hydro,TJ,4874.344239,5051.306431,7593.434474,9387.314535,7236.678685,3788.308218,3108.836176,3543.819871,3227.923437,2750.323596,2736.611279,2111.234117,3695.125929,4763.861843,4739.865672,4206.138673,5008.382427,5391.5451,5461.073657,5753.313349,6617.011863
Armenia,biofuel,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,marine,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,biomass,TJ,150,95,39,39,39,39,39,39,42,42,42,42,42,42,42,42,42,42,42,42,42
Armenia,solar,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,waste,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,wind,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.72889115,6.077989601,11.39834244,18.12170698
Armenia,nuclear,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,coal,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,naturalGas,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,petroleum,TJ,8303.289539500001,9052.379193000002,9717.064378500001,9389.997065000001,10972.58084,12671.220758500001,8334.941215,13335.905944000002,13473.063204500002,13473.063204500002,14232.703416500002,14274.9056505,14274.9056505,15213.905357000001,15319.410942,15688.6804895,16849.241924500002,15414.3659685,14876.287485,14971.2425115,14971.2425115
Aruba,biogas,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,geothermal,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,hydro,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,biofuel,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,marine,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,biomass,TJ,5.31657,5.31657,5.93775,5.672835,5.31657,5.325705,5.234355,5.20695,5.40792,5.435325,5.837265,5.95602,6.147855,6.30315,6.48585,6.622875,6.695955,6.83298,6.92433,7.01568,0
Aruba,solar,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,waste,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,wind,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,nuclear,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,coal,TJ,1513836.335814,1571241.9246125,1646836.6762650001,1655867.9543410002,1576601.6083305,1602629.83615,1737455.4232215001,2047905.6070840003,2048285.4271900002,2190612.461355,2183121.56482,2313283.8050345,2316617.7815205003,2298122.65247,2403353.9229490003,2504998.0035380004,2546472.2490015,2570991.7469555004,2559470.5370735005,2632564.8063615,2474580.7433825005
Australia,naturalGas,TJ,688423.9421250001,643879.484138,666879.7016680001,694110.6931565,725625.2113960001,778715.6217680001,781553.7220045001,787061.1135415001,824747.7085035001,853751.1938200002,896322.6973675002,945087.3787545001,998357.1486210001,1031169.385556,1101552.1613095002,1259356.864794,1259093.1008315,1382070.4107075,1437281.483338,1425623.1161955001,1433831.4507085
